pincombination,date,Split,Frequency,Zreal,Zimag,Zmod,Zphase,rh,Replicate,run,Path,TCN
9-12,021119,B,2527.573,538367.2,-45914030,45917190,-89.32821,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,1976.103,1808766,-58995780,59023500,-88.2439,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,1577.524,1181949,-72795820,72805420,-89.0698,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,1265.625,2160158,-91378880,91404410,-88.64581,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,998.264,2912265,-115411200,115447900,-88.55451,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,796.875,3400354,-145001400,145041200,-88.65663,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,627.7902,4962042,-183125700,183192900,-88.44788,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,505.5147,2800059,-225177900,225195300,-89.28757,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,397.9953,6529002,-285937000,286011600,-88.69196,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,315.5048,10371190,-358182500,358332600,-88.34146,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,252.4038,11449480,-449559200,449705000,-88.54109,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,198.6229,13361320,-565096600,565254500,-88.64553,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,158.3615,18895220,-715204900,715454400,-88.48663,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,125.558,30101390,-889715900,890225000,-88.06227,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,100.4464,28121460,-1101994000,1102353000,-88.5382,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,79.00281,101075000,-1403586000,1407221000,-85.88113,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,63.3446,217368900,-1909899000,1922229000,-83.507,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,49.86702,82501500,-2181659000,2183218000,-87.83434,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
9-12,021119,B,39.72458,138776600,-2750815000,2754314000,-87.11192,0,B4,2,bg_no_rh/021119_B4_9_12_#2.txt,3500
